user_id,age,gender,country,subscription_type,device_type,listening_time,songs_played_per_day,skip_rate,ads_listened_per_week,offline_listening,is_churned
1000,56,Other,DE,Free,Desktop,91.97844228384152,24.13295392616854,0.6087920962185093,1,0,0
1001,69,Female,DE,Free,Desktop,64.86156590075929,21.482246580293005,0.12487285648575275,21,1,0
1002,46,Female,IN,Free,Web,40.27957951657859,5.895012260157536,0.08768881768524744,14,1,0
1003,32,Male,DE,Free,Desktop,53.609791457342496,25.849053048679345,0.16055813815999434,0,1,0
1004,60,Female,US,Premium,Web,17.715055005343892,13.3785384808055,0.30417456460055686,1,1,0
1005,25,Male,US,Student,Mobile,62.7479741350576,5.671613038486221,0.46608602186456155,2,0,1
1006,38,Other,US,Premium,Desktop,86.24124687565627,24.30513479528818,0.1724719929527587,1,1,0
1007,56,Other,US,Free,Desktop,33.17188463732292,7.417073794758892,0.17887631152460529,26,1,0
1008,36,Other,UK,Premium,Web,62.994654690160985,-0.9112470036902494,0.05691976563100708,12,1,0
1009,40,Male,FR,Free,Desktop,79.70863611738574,32.97134454803173,0.15845350079558335,20,0,1
1010,28,Female,FR,Premium,Mobile,81.82277266392968,14.392679971440005,0.5079941260637344,29,1,0
1011,28,Other,DE,Premium,Desktop,85.59602344551662,2.5551194153720935,0.28429534147225977,25,1,0
1012,41,Female,CA,Free,Desktop,22.634923373089933,10.374081893235925,0.2208810925022161,23,1,0
1013,53,Female,US,Free,Desktop,70.0986190922362,12.789484029283228,0.4720456319204362,24,1,0
1014,57,Other,FR,Free,Web,29.888696298107895,31.44227290293977,0.09271989236733405,0,0,0
1015,41,Male,FR,Free,Mobile,40.033357268550574,3.3703223991736166,0.18654593449526335,18,0,1
1016,20,Female,US,Premium,Mobile,76.42244519217013,6.610937182506756,0.10212288580552639,5,0,0
1017,39,Other,UK,Free,Desktop,63.16094243703234,29.80402994885734,0.5703551990163607,5,0,1
1018,19,Female,UK,Free,Desktop,74.52672148478747,15.502672044214876,0.15707498732097183,6,1,0
1019,41,Female,FR,Free,Web,41.417667903966034,22.27952738011348,0.1526138489476411,21,0,1
1020,61,Female,UK,Premium,Mobile,89.47206220325754,15.09074669932145,0.2619305405562782,9,0,0
1021,47,Female,IN,Free,Desktop,73.76667867682102,40.20570156821988,0.03103673955041899,13,0,0
1022,55,Female,US,Free,Mobile,77.7859623858692,7.103048440796037,0.43431037829145025,26,0,1
1023,19,Male,FR,Premium,Desktop,38.396664477697286,22.821156672782422,0.2919530328273358,28,0,0
1024,38,Male,US,Free,Desktop,83.42802480425237,35.02956587257415,0.6010481301031169,9,1,0
1025,50,Other,UK,Free,Web,53.67676846719194,16.25013989726734,0.11241594305691134,1,0,0
1026,29,Male,US,Premium,Mobile,47.775474597092185,12.462259445908114,0.39907349422082045,25,0,0
1027,39,Male,UK,Free,Mobile,72.50927080091323,27.671030308171414,0.14637766121608745,18,0,1
1028,61,Male,UK,Premium,Desktop,71.66423549575877,30.040648102763775,0.4443968058976947,17,0,0
1029,42,Female,US,Free,Desktop,43.063623044853244,12.000963150086974,0.22555922879780974,29,1,0
1030,66,Female,UK,Free,Web,101.1260202038504,34.62196593905437,0.18859043901683867,19,0,1
1031,44,Other,IN,Free,Desktop,96.2870115277955,20.512210921478882,0.11634930005936724,10,1,0
1032,59,Other,DE,Premium,Mobile,72.10070281623538,25.08761296128267,0.35713724145757486,14,0,0
1033,45,Other,US,Free,Web,68.60806845463377,34.88281190539512,0.18209798394033594,13,0,0
1034,33,Female,DE,Free,Mobile,66.59572452520592,27.68780225788399,0.18184061276567337,24,0,1
1035,32,Male,US,Free,Web,29.00006747962657,19.99750824581826,0.2464504348262191,14,1,0
1036,64,Male,UK,Free,Mobile,62.25614775842926,13.284078934824056,0.04127122622326423,0,0,0
1037,68,Female,UK,Premium,Desktop,61.99083163791496,47.08505650682349,0.4295718693409869,11,0,0
1038,61,Other,FR,Student,Mobile,48.47976627523238,12.109838219467212,0.08899508326977616,8,1,0
1039,69,Other,IN,Premium,Mobile,53.81301655996831,23.181290939802714,0.2517392446976091,17,1,0
1040,20,Other,FR,Free,Web,12.374152105690541,25.099893873676294,0.2053690438412737,28,1,0
1041,54,Female,DE,Free,Mobile,38.054541397500174,25.573094686182767,0.18004440356374574,16,1,0
1042,68,Other,UK,Premium,Desktop,78.4365258301458,41.28016931906501,0.1529578399249034,29,0,0
1043,24,Other,FR,Student,Web,94.62393803278721,20.475703950889322,0.31533177291413167,2,0,1
1044,38,Female,UK,Free,Web,41.13238629408458,19.049340641363656,0.4810420002321965,14,0,0
1045,26,Male,US,Free,Mobile,63.65697309951878,35.52278057607541,0.5294371911563799,16,0,1
1046,56,Female,FR,Free,Web,81.96764658794635,18.641158539333084,0.12652399997135533,22,1,0
